Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_KL_0.2_add_occlusion_2.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][1/801], || Loss: 729.39 ||total: 231.76 | reg: 1.10 | conf: 230.65 | total_v: 304.04 | reg_v: 1.16 | conf_v: 302.88 | total_i: 193.59 | reg_i: 0.92 | conf_i: 192.67 | 
[epoch 0][2/801], || Loss: 132.39 ||total: 41.12 | reg: 35.61 | conf: 5.50 | total_v: 40.95 | reg_v: 35.31 | conf_v: 5.63 | total_i: 50.33 | reg_i: 43.55 | conf_i: 6.78 | 
[epoch 0][3/801], || Loss: 81.35 ||total: 28.67 | reg: 21.85 | conf: 6.82 | total_v: 30.61 | reg_v: 23.32 | conf_v: 7.29 | total_i: 22.07 | reg_i: 16.89 | conf_i: 5.18 | 
[epoch 0][4/801], || Loss: 92.92 ||total: 31.18 | reg: 24.78 | conf: 6.41 | total_v: 32.35 | reg_v: 25.62 | conf_v: 6.73 | total_i: 29.38 | reg_i: 23.65 | conf_i: 5.73 | 
[epoch 0][5/801], || Loss: 78.23 ||total: 27.54 | reg: 20.48 | conf: 7.06 | total_v: 30.76 | reg_v: 22.60 | conf_v: 8.16 | total_i: 19.93 | reg_i: 15.27 | conf_i: 4.66 | 
[epoch 0][6/801], || Loss: 93.18 ||total: 34.32 | reg: 23.83 | conf: 10.49 | total_v: 39.49 | reg_v: 27.02 | conf_v: 12.47 | total_i: 19.36 | reg_i: 15.18 | conf_i: 4.17 | 
[epoch 0][7/801], || Loss: 81.38 ||total: 30.13 | reg: 19.58 | conf: 10.55 | total_v: 35.84 | reg_v: 22.23 | conf_v: 13.61 | total_i: 15.41 | reg_i: 11.77 | conf_i: 3.64 | 
[epoch 0][8/801], || Loss: 66.05 ||total: 28.37 | reg: 18.87 | conf: 9.50 | total_v: 19.82 | reg_v: 12.16 | conf_v: 7.66 | total_i: 17.86 | reg_i: 11.41 | conf_i: 6.45 | 
[epoch 0][9/801], || Loss: 34.86 ||total: 14.34 | reg: 9.05 | conf: 5.29 | total_v: 11.48 | reg_v: 7.33 | conf_v: 4.16 | total_i: 9.04 | reg_i: 5.92 | conf_i: 3.12 | 
[epoch 0][10/801], || Loss: 32.05 ||total: 12.62 | reg: 8.44 | conf: 4.18 | total_v: 11.78 | reg_v: 7.83 | conf_v: 3.95 | total_i: 7.65 | reg_i: 5.48 | conf_i: 2.17 | 
[epoch 0][11/801], || Loss: 31.39 ||total: 12.94 | reg: 9.40 | conf: 3.55 | total_v: 10.95 | reg_v: 7.90 | conf_v: 3.05 | total_i: 7.50 | reg_i: 5.64 | conf_i: 1.86 | 
