Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_ce_0.2_add_occlusion_0.1.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][1/801], || Loss: 1885.45 ||total: 489.98 | reg: 1.64 | conf: 488.34 | total_v: 818.29 | reg_v: 1.82 | conf_v: 816.47 | total_i: 577.18 | reg_i: 1.12 | conf_i: 576.06 | 
[epoch 0][2/801], || Loss: 84.33 ||total: 28.14 | reg: 23.11 | conf: 5.03 | total_v: 16.44 | reg_v: 13.53 | conf_v: 2.91 | total_i: 39.75 | reg_i: 32.21 | conf_i: 7.54 | 
[epoch 0][3/801], || Loss: 79.67 ||total: 25.43 | reg: 19.83 | conf: 5.61 | total_v: 26.12 | reg_v: 20.48 | conf_v: 5.64 | total_i: 28.12 | reg_i: 22.01 | conf_i: 6.11 | 
[epoch 0][4/801], || Loss: 89.09 ||total: 32.05 | reg: 23.54 | conf: 8.51 | total_v: 38.54 | reg_v: 28.46 | conf_v: 10.08 | total_i: 18.49 | reg_i: 13.11 | conf_i: 5.38 | 
[epoch 0][5/801], || Loss: 86.77 ||total: 29.94 | reg: 21.60 | conf: 8.34 | total_v: 36.94 | reg_v: 26.75 | conf_v: 10.20 | total_i: 19.89 | reg_i: 14.29 | conf_i: 5.60 | 
[epoch 0][6/801], || Loss: 91.33 ||total: 33.58 | reg: 23.42 | conf: 10.17 | total_v: 39.00 | reg_v: 27.30 | conf_v: 11.70 | total_i: 18.75 | reg_i: 12.79 | conf_i: 5.96 | 
[epoch 0][7/801], || Loss: 66.15 ||total: 24.29 | reg: 16.37 | conf: 7.93 | total_v: 25.70 | reg_v: 17.91 | conf_v: 7.79 | total_i: 16.16 | reg_i: 10.59 | conf_i: 5.56 | 
[epoch 0][8/801], || Loss: 51.46 ||total: 19.89 | reg: 12.11 | conf: 7.78 | total_v: 15.90 | reg_v: 9.87 | conf_v: 6.02 | total_i: 15.67 | reg_i: 8.35 | conf_i: 7.32 | 
[epoch 0][9/801], || Loss: 56.95 ||total: 22.50 | reg: 14.38 | conf: 8.12 | total_v: 21.88 | reg_v: 13.76 | conf_v: 8.12 | total_i: 12.57 | reg_i: 7.82 | conf_i: 4.75 | 
[epoch 0][10/801], || Loss: 42.02 ||total: 17.29 | reg: 10.38 | conf: 6.91 | total_v: 14.46 | reg_v: 9.31 | conf_v: 5.15 | total_i: 10.27 | reg_i: 5.99 | conf_i: 4.27 | 
[epoch 0][11/801], || Loss: 37.93 ||total: 14.96 | reg: 8.23 | conf: 6.73 | total_v: 13.03 | reg_v: 7.02 | conf_v: 6.01 | total_i: 9.94 | reg_i: 6.16 | conf_i: 3.78 | 
[epoch 0][12/801], || Loss: 42.72 ||total: 21.57 | reg: 14.50 | conf: 7.07 | total_v: 14.00 | reg_v: 8.46 | conf_v: 5.53 | total_i: 7.16 | reg_i: 4.44 | conf_i: 2.71 | 
[epoch 0][13/801], || Loss: 65.01 ||total: 25.60 | reg: 15.47 | conf: 10.13 | total_v: 32.25 | reg_v: 19.37 | conf_v: 12.88 | total_i: 7.15 | reg_i: 4.65 | conf_i: 2.50 | 
[epoch 0][14/801], || Loss: 26.37 ||total: 12.00 | reg: 6.90 | conf: 5.10 | total_v: 8.68 | reg_v: 5.05 | conf_v: 3.63 | total_i: 5.69 | reg_i: 3.40 | conf_i: 2.28 | 
[epoch 0][15/801], || Loss: 30.80 ||total: 12.85 | reg: 7.83 | conf: 5.02 | total_v: 12.56 | reg_v: 7.70 | conf_v: 4.87 | total_i: 5.39 | reg_i: 3.52 | conf_i: 1.87 | 
[epoch 0][16/801], || Loss: 25.93 ||total: 11.95 | reg: 7.76 | conf: 4.19 | total_v: 9.59 | reg_v: 6.44 | conf_v: 3.14 | total_i: 4.40 | reg_i: 3.10 | conf_i: 1.30 | 
[epoch 0][17/801], || Loss: 31.81 ||total: 15.62 | reg: 9.97 | conf: 5.66 | total_v: 12.13 | reg_v: 8.22 | conf_v: 3.91 | total_i: 4.06 | reg_i: 2.60 | conf_i: 1.46 | 
[epoch 0][18/801], || Loss: 26.75 ||total: 12.14 | reg: 7.30 | conf: 4.84 | total_v: 10.21 | reg_v: 5.38 | conf_v: 4.83 | total_i: 4.41 | reg_i: 2.40 | conf_i: 2.01 | 
[epoch 0][19/801], || Loss: 18.35 ||total: 8.71 | reg: 5.28 | conf: 3.43 | total_v: 6.02 | reg_v: 3.89 | conf_v: 2.14 | total_i: 3.62 | reg_i: 2.50 | conf_i: 1.12 | 
[epoch 0][20/801], || Loss: 74.56 ||total: 28.89 | reg: 19.98 | conf: 8.91 | total_v: 40.93 | reg_v: 27.86 | conf_v: 13.07 | total_i: 4.74 | reg_i: 2.87 | conf_i: 1.87 | 
[epoch 0][21/801], || Loss: 20.00 ||total: 9.31 | reg: 5.70 | conf: 3.61 | total_v: 5.69 | reg_v: 3.80 | conf_v: 1.89 | total_i: 4.99 | reg_i: 3.12 | conf_i: 1.87 | 
[epoch 0][22/801], || Loss: 36.38 ||total: 18.15 | reg: 10.88 | conf: 7.27 | total_v: 10.41 | reg_v: 6.39 | conf_v: 4.02 | total_i: 7.82 | reg_i: 4.73 | conf_i: 3.09 | 
[epoch 0][23/801], || Loss: 18.10 ||total: 8.17 | reg: 5.04 | conf: 3.12 | total_v: 5.78 | reg_v: 3.93 | conf_v: 1.85 | total_i: 4.16 | reg_i: 2.69 | conf_i: 1.46 | 
[epoch 0][24/801], || Loss: 17.68 ||total: 10.28 | reg: 5.48 | conf: 4.80 | total_v: 4.02 | reg_v: 2.72 | conf_v: 1.30 | total_i: 3.38 | reg_i: 2.34 | conf_i: 1.04 | 
[epoch 0][25/801], || Loss: 12.13 ||total: 5.33 | reg: 3.13 | conf: 2.21 | total_v: 3.57 | reg_v: 2.59 | conf_v: 0.98 | total_i: 3.22 | reg_i: 2.29 | conf_i: 0.94 | 
[epoch 0][26/801], || Loss: 15.01 ||total: 6.79 | reg: 4.95 | conf: 1.83 | total_v: 4.85 | reg_v: 3.73 | conf_v: 1.13 | total_i: 3.37 | reg_i: 2.46 | conf_i: 0.91 | 
[epoch 0][27/801], || Loss: 16.21 ||total: 8.89 | reg: 5.82 | conf: 3.07 | total_v: 4.03 | reg_v: 2.76 | conf_v: 1.27 | total_i: 3.29 | reg_i: 2.42 | conf_i: 0.87 | 
[epoch 0][28/801], || Loss: 16.19 ||total: 6.80 | reg: 4.88 | conf: 1.93 | total_v: 4.98 | reg_v: 3.24 | conf_v: 1.74 | total_i: 4.41 | reg_i: 2.34 | conf_i: 2.07 | 
[epoch 0][29/801], || Loss: 41.84 ||total: 29.06 | reg: 22.63 | conf: 6.43 | total_v: 8.73 | reg_v: 5.54 | conf_v: 3.19 | total_i: 4.05 | reg_i: 2.31 | conf_i: 1.74 | 
[epoch 0][30/801], || Loss: 16.09 ||total: 8.33 | reg: 5.60 | conf: 2.72 | total_v: 4.21 | reg_v: 3.12 | conf_v: 1.09 | total_i: 3.55 | reg_i: 2.59 | conf_i: 0.96 | 
[epoch 0][31/801], || Loss: 15.37 ||total: 5.60 | reg: 3.91 | conf: 1.68 | total_v: 5.18 | reg_v: 3.54 | conf_v: 1.64 | total_i: 4.60 | reg_i: 3.49 | conf_i: 1.10 | 
[epoch 0][32/801], || Loss: 14.98 ||total: 5.85 | reg: 3.75 | conf: 2.10 | total_v: 5.79 | reg_v: 3.65 | conf_v: 2.14 | total_i: 3.34 | reg_i: 2.42 | conf_i: 0.92 | 
[epoch 0][33/801], || Loss: 17.75 ||total: 7.00 | reg: 4.50 | conf: 2.50 | total_v: 7.56 | reg_v: 4.56 | conf_v: 3.00 | total_i: 3.19 | reg_i: 2.36 | conf_i: 0.83 | 
[epoch 0][34/801], || Loss: 13.34 ||total: 5.15 | reg: 3.24 | conf: 1.91 | total_v: 4.63 | reg_v: 3.33 | conf_v: 1.29 | total_i: 3.56 | reg_i: 2.55 | conf_i: 1.02 | 
[epoch 0][35/801], || Loss: 16.17 ||total: 6.61 | reg: 4.14 | conf: 2.47 | total_v: 6.46 | reg_v: 4.08 | conf_v: 2.38 | total_i: 3.10 | reg_i: 2.42 | conf_i: 0.67 | 
[epoch 0][36/801], || Loss: 12.06 ||total: 4.45 | reg: 3.29 | conf: 1.16 | total_v: 4.81 | reg_v: 3.71 | conf_v: 1.10 | total_i: 2.80 | reg_i: 2.15 | conf_i: 0.65 | 
[epoch 0][37/801], || Loss: 12.04 ||total: 4.53 | reg: 3.14 | conf: 1.39 | total_v: 4.35 | reg_v: 3.34 | conf_v: 1.01 | total_i: 3.16 | reg_i: 2.26 | conf_i: 0.91 | 
[epoch 0][38/801], || Loss: 12.84 ||total: 5.54 | reg: 3.86 | conf: 1.67 | total_v: 4.68 | reg_v: 3.40 | conf_v: 1.27 | total_i: 2.63 | reg_i: 1.91 | conf_i: 0.72 | 
[epoch 0][39/801], || Loss: 10.26 ||total: 3.90 | reg: 2.79 | conf: 1.11 | total_v: 3.66 | reg_v: 2.64 | conf_v: 1.02 | total_i: 2.69 | reg_i: 2.05 | conf_i: 0.64 | 
[epoch 0][40/801], || Loss: 9.51 ||total: 3.51 | reg: 2.29 | conf: 1.22 | total_v: 2.90 | reg_v: 2.07 | conf_v: 0.83 | total_i: 3.10 | reg_i: 2.20 | conf_i: 0.90 | 
[epoch 0][41/801], || Loss: 9.64 ||total: 3.72 | reg: 2.36 | conf: 1.36 | total_v: 3.00 | reg_v: 1.98 | conf_v: 1.02 | total_i: 2.92 | reg_i: 2.20 | conf_i: 0.72 | 
[epoch 0][42/801], || Loss: 9.13 ||total: 3.35 | reg: 2.25 | conf: 1.11 | total_v: 3.31 | reg_v: 2.53 | conf_v: 0.78 | total_i: 2.47 | reg_i: 1.81 | conf_i: 0.66 | 
[epoch 0][43/801], || Loss: 9.12 ||total: 3.25 | reg: 2.11 | conf: 1.15 | total_v: 2.69 | reg_v: 1.82 | conf_v: 0.87 | total_i: 3.17 | reg_i: 2.21 | conf_i: 0.96 | 
[epoch 0][44/801], || Loss: 10.37 ||total: 4.38 | reg: 2.52 | conf: 1.86 | total_v: 3.25 | reg_v: 2.26 | conf_v: 0.99 | total_i: 2.74 | reg_i: 1.97 | conf_i: 0.77 | 
[epoch 0][45/801], || Loss: 7.62 ||total: 2.42 | reg: 1.52 | conf: 0.90 | total_v: 2.43 | reg_v: 1.51 | conf_v: 0.92 | total_i: 2.77 | reg_i: 2.00 | conf_i: 0.76 | 
[epoch 0][46/801], || Loss: 8.37 ||total: 3.18 | reg: 1.99 | conf: 1.19 | total_v: 2.69 | reg_v: 1.96 | conf_v: 0.73 | total_i: 2.50 | reg_i: 1.84 | conf_i: 0.65 | 
[epoch 0][47/801], || Loss: 8.69 ||total: 3.08 | reg: 2.18 | conf: 0.89 | total_v: 3.11 | reg_v: 2.26 | conf_v: 0.84 | total_i: 2.51 | reg_i: 1.83 | conf_i: 0.67 | 
[epoch 0][48/801], || Loss: 8.74 ||total: 3.17 | reg: 2.18 | conf: 0.99 | total_v: 3.01 | reg_v: 2.16 | conf_v: 0.85 | total_i: 2.56 | reg_i: 1.88 | conf_i: 0.68 | 
[epoch 0][49/801], || Loss: 8.11 ||total: 2.95 | reg: 2.10 | conf: 0.85 | total_v: 2.50 | reg_v: 1.67 | conf_v: 0.83 | total_i: 2.67 | reg_i: 1.93 | conf_i: 0.74 | 
[epoch 0][50/801], || Loss: 9.85 ||total: 3.85 | reg: 2.44 | conf: 1.40 | total_v: 3.21 | reg_v: 2.04 | conf_v: 1.18 | total_i: 2.79 | reg_i: 1.73 | conf_i: 1.06 | 
[epoch 0][51/801], || Loss: 9.96 ||total: 3.86 | reg: 2.44 | conf: 1.42 | total_v: 3.63 | reg_v: 2.34 | conf_v: 1.29 | total_i: 2.46 | reg_i: 1.76 | conf_i: 0.71 | 
[epoch 0][52/801], || Loss: 11.61 ||total: 6.11 | reg: 2.75 | conf: 3.37 | total_v: 3.10 | reg_v: 1.90 | conf_v: 1.20 | total_i: 2.39 | reg_i: 1.57 | conf_i: 0.82 | 
[epoch 0][53/801], || Loss: 9.88 ||total: 4.55 | reg: 2.03 | conf: 2.53 | total_v: 2.93 | reg_v: 1.73 | conf_v: 1.20 | total_i: 2.40 | reg_i: 1.62 | conf_i: 0.78 | 
[epoch 0][54/801], || Loss: 10.23 ||total: 3.99 | reg: 2.19 | conf: 1.80 | total_v: 3.99 | reg_v: 2.11 | conf_v: 1.87 | total_i: 2.26 | reg_i: 1.64 | conf_i: 0.61 | 
[epoch 0][55/801], || Loss: 8.15 ||total: 3.18 | reg: 1.85 | conf: 1.33 | total_v: 2.60 | reg_v: 1.55 | conf_v: 1.05 | total_i: 2.37 | reg_i: 1.67 | conf_i: 0.70 | 
[epoch 0][56/801], || Loss: 6.70 ||total: 2.36 | reg: 1.57 | conf: 0.79 | total_v: 2.07 | reg_v: 1.38 | conf_v: 0.69 | total_i: 2.27 | reg_i: 1.65 | conf_i: 0.62 | 
[epoch 0][57/801], || Loss: 8.25 ||total: 3.21 | reg: 2.12 | conf: 1.09 | total_v: 2.74 | reg_v: 1.74 | conf_v: 1.00 | total_i: 2.30 | reg_i: 1.65 | conf_i: 0.65 | 
[epoch 0][58/801], || Loss: 8.09 ||total: 3.22 | reg: 2.24 | conf: 0.99 | total_v: 2.76 | reg_v: 1.90 | conf_v: 0.86 | total_i: 2.11 | reg_i: 1.43 | conf_i: 0.68 | 
[epoch 0][59/801], || Loss: 7.13 ||total: 2.58 | reg: 1.68 | conf: 0.90 | total_v: 2.64 | reg_v: 1.53 | conf_v: 1.11 | total_i: 1.91 | reg_i: 1.20 | conf_i: 0.71 | 
[epoch 0][60/801], || Loss: 8.39 ||total: 3.17 | reg: 1.89 | conf: 1.28 | total_v: 2.98 | reg_v: 1.75 | conf_v: 1.23 | total_i: 2.25 | reg_i: 1.39 | conf_i: 0.85 | 
[epoch 0][61/801], || Loss: 6.78 ||total: 2.65 | reg: 1.56 | conf: 1.09 | total_v: 2.17 | reg_v: 1.17 | conf_v: 1.00 | total_i: 1.96 | reg_i: 1.09 | conf_i: 0.87 | 
[epoch 0][62/801], || Loss: 7.72 ||total: 2.91 | reg: 1.74 | conf: 1.18 | total_v: 2.65 | reg_v: 1.56 | conf_v: 1.09 | total_i: 2.16 | reg_i: 1.41 | conf_i: 0.75 | 
[epoch 0][63/801], || Loss: 7.84 ||total: 3.13 | reg: 1.76 | conf: 1.37 | total_v: 2.49 | reg_v: 1.52 | conf_v: 0.97 | total_i: 2.21 | reg_i: 1.54 | conf_i: 0.67 | 
[epoch 0][64/801], || Loss: 7.60 ||total: 3.18 | reg: 1.88 | conf: 1.30 | total_v: 2.51 | reg_v: 1.64 | conf_v: 0.86 | total_i: 1.92 | reg_i: 1.13 | conf_i: 0.79 | 
[epoch 0][65/801], || Loss: 7.11 ||total: 2.97 | reg: 1.82 | conf: 1.15 | total_v: 2.38 | reg_v: 1.54 | conf_v: 0.83 | total_i: 1.76 | reg_i: 1.14 | conf_i: 0.62 | 
[epoch 0][66/801], || Loss: 7.10 ||total: 2.71 | reg: 1.62 | conf: 1.09 | total_v: 2.53 | reg_v: 1.61 | conf_v: 0.93 | total_i: 1.86 | reg_i: 1.16 | conf_i: 0.70 | 
[epoch 0][67/801], || Loss: 8.20 ||total: 3.05 | reg: 1.66 | conf: 1.39 | total_v: 3.40 | reg_v: 1.75 | conf_v: 1.65 | total_i: 1.76 | reg_i: 1.00 | conf_i: 0.76 | 
[epoch 0][68/801], || Loss: 6.60 ||total: 2.34 | reg: 1.58 | conf: 0.76 | total_v: 2.42 | reg_v: 1.49 | conf_v: 0.94 | total_i: 1.84 | reg_i: 1.12 | conf_i: 0.72 | 
[epoch 0][69/801], || Loss: 5.94 ||total: 2.31 | reg: 1.37 | conf: 0.94 | total_v: 2.10 | reg_v: 1.19 | conf_v: 0.91 | total_i: 1.53 | reg_i: 0.81 | conf_i: 0.71 | 
[epoch 0][70/801], || Loss: 10.16 ||total: 3.99 | reg: 2.23 | conf: 1.76 | total_v: 3.85 | reg_v: 1.78 | conf_v: 2.07 | total_i: 2.32 | reg_i: 1.53 | conf_i: 0.79 | 
[epoch 0][71/801], || Loss: 6.75 ||total: 2.80 | reg: 1.61 | conf: 1.19 | total_v: 2.30 | reg_v: 1.48 | conf_v: 0.81 | total_i: 1.66 | reg_i: 0.98 | conf_i: 0.67 | 
[epoch 0][72/801], || Loss: 7.44 ||total: 2.72 | reg: 1.80 | conf: 0.91 | total_v: 2.64 | reg_v: 1.79 | conf_v: 0.85 | total_i: 2.08 | reg_i: 1.45 | conf_i: 0.63 | 
[epoch 0][73/801], || Loss: 6.15 ||total: 2.41 | reg: 1.45 | conf: 0.96 | total_v: 2.02 | reg_v: 1.23 | conf_v: 0.79 | total_i: 1.72 | reg_i: 1.00 | conf_i: 0.72 | 
[epoch 0][74/801], || Loss: 7.52 ||total: 2.81 | reg: 1.72 | conf: 1.09 | total_v: 2.65 | reg_v: 1.73 | conf_v: 0.92 | total_i: 2.05 | reg_i: 1.31 | conf_i: 0.75 | 
[epoch 0][75/801], || Loss: 6.54 ||total: 2.59 | reg: 1.56 | conf: 1.04 | total_v: 2.17 | reg_v: 1.41 | conf_v: 0.76 | total_i: 1.78 | reg_i: 1.05 | conf_i: 0.73 | 
[epoch 0][76/801], || Loss: 6.92 ||total: 2.57 | reg: 1.52 | conf: 1.05 | total_v: 2.43 | reg_v: 1.46 | conf_v: 0.97 | total_i: 1.92 | reg_i: 1.27 | conf_i: 0.66 | 
